department,markdown_id,markdown_description,date,style_code,description,colour,price,soh,price_history
Womenswear,4227,SCW24FINALPP,11/04/2024,111800,Eva Capri,Black,39,1,"{'79.00': ('30/09/2022', 'WK9SEPWWCLN'), '59.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Womenswear,4227,SCW24FINALPP,11/04/2024,111800,Eva Capri,ClassicNav,39,2,"{'79.00': ('30/09/2022', 'WK9SEPWWCLN'), '69.00': ('27/09/2023', 'SCS24FURTHERMDWK7'), '49.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
Womenswear,4180,Nothing,16/01/2024,112708E,Daisy Linen Shi,White,59,2,"{'79.00': ('30/05/2023', 'SCW23EOSS'), '59.00': ('16/01/2024', 'Nothing')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,112740,Laura Relaxed C,Bone,59,8,"{'79.00': ('04/03/2025', 'SCWWMARMSS'), '59.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,112740,Laura Relaxed C,ClassicNav,59,1,"{'79.00': ('04/03/2025', 'SCWWMARMSS'), '59.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,113032,Laura Chino Sho,Bone,49,16,"{'59.00': ('04/03/2025', 'SCWWMARMSS'), '49.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,113032,Laura Chino Sho,ClassicNav,49,9,"{'59.00': ('04/03/2025', 'SCWWMARMSS'), '49.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,113032,Laura Chino Sho,Ivory,49,8,"{'59.00': ('04/03/2025', 'SCWWMARMSS'), '49.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4180,Nothing,16/01/2024,113032,Laura Chino Sho,Khaki,39,1,"{'49.00': ('17/04/2025', 'SCWK38FINALPP'), '39.00': ('16/01/2024', 'Nothing'), '59.00': ('04/03/2025', 'SCWWMARMSS')}"
Womenswear,4180,Nothing,16/01/2024,113032,Laura Chino Sho,Sienna,39,1,"{'49.00': ('21/12/2023', 'SCBOXINGDAY121223'), '39.00': ('16/01/2024', 'Nothing')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,113032,Laura Chino Sho,Tan,49,5,"{'59.00': ('04/03/2025', 'SCWWMARMSS'), '49.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4399,SCWK38FINALPP,17/04/2025,113630,Georgina Shirt,White,59,3,"{'79.00': ('19/11/2024', 'SCWWBFWK14'), '59.00': ('17/04/2025', 'SCWK38FINALPP')}"
Womenswear,4180,Nothing,16/01/2024,113736E,Daisy Linen Shi,Pink,59,1,"{'79.00': ('30/05/2023', 'SCW23EOSS'), '59.00': ('16/01/2024', 'Nothing')}"
Womenswear,4227,SCW24FINALPP,11/04/2024,113996E,ROSA LINEN PANT,Natural,39,2,"{'79.00': ('30/05/2023', 'SCW23EOSS'), '59.00': ('16/01/2024', 'Nothing'), '39.00': ('11/04/2024', 'SCW24FINALPP')}"
