markdown_id,markdown_description,date,style_code,description,department,colour,soh,price,price_history
4227,SCW24FINALPP,11/04/2024,111800,Eva Capri,Womenswear,Black,1,39.0,"{79.0: ('30/09/2022', 'WK9SEPWWCLN'), 59.0: ('16/01/2024', 'Nothing'), 39.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,111800,Eva Capri,Womenswear,ClassicNav,2,39.0,"{79.0: ('30/09/2022', 'WK9SEPWWCLN'), 69.0: ('27/09/2023', 'SCS24FURTHERMDWK7'), 49.0: ('16/01/2024', 'Nothing'), 39.0: ('11/04/2024', 'SCW24FINALPP')}"
4180,Nothing,16/01/2024,112708E,Daisy Linen Shi,Womenswear,White,2,59.0,"{79.0: ('30/05/2023', 'SCW23EOSS'), 59.0: ('16/01/2024', 'Nothing')}"
4399,SCWK38FINALPP,17/04/2025,112740,Laura Relaxed C,Womenswear,Bone,5,59.0,"{79.0: ('04/03/2025', 'SCWWMARMSS'), 59.0: ('17/04/2025', 'SCWK38FINALPP')}"
4399,SCWK38FINALPP,17/04/2025,112740,Laura Relaxed C,Womenswear,ClassicNav,1,59.0,"{79.0: ('04/03/2025', 'SCWWMARMSS'), 59.0: ('17/04/2025', 'SCWK38FINALPP')}"
4399,SCWK38FINALPP,17/04/2025,113032,Laura Chino Sho,Womenswear,Bone,10,49.0,"{59.0: ('04/03/2025', 'SCWWMARMSS'), 49.0: ('17/04/2025', 'SCWK38FINALPP')}"
4399,SCWK38FINALPP,17/04/2025,113032,Laura Chino Sho,Womenswear,ClassicNav,8,49.0,"{59.0: ('04/03/2025', 'SCWWMARMSS'), 49.0: ('17/04/2025', 'SCWK38FINALPP')}"
4399,SCWK38FINALPP,17/04/2025,113032,Laura Chino Sho,Womenswear,Ivory,8,49.0,"{59.0: ('04/03/2025', 'SCWWMARMSS'), 49.0: ('17/04/2025', 'SCWK38FINALPP')}"
4180,Nothing,16/01/2024,113032,Laura Chino Sho,Womenswear,Khaki,2,39.0,"{49.0: ('17/04/2025', 'SCWK38FINALPP'), 39.0: ('16/01/2024', 'Nothing'), 59.0: ('04/03/2025', 'SCWWMARMSS')}"
4180,Nothing,16/01/2024,113032,Laura Chino Sho,Womenswear,Sienna,1,39.0,"{49.0: ('21/12/2023', 'SCBOXINGDAY121223'), 39.0: ('16/01/2024', 'Nothing')}"
4399,SCWK38FINALPP,17/04/2025,113032,Laura Chino Sho,Womenswear,Tan,3,49.0,"{59.0: ('04/03/2025', 'SCWWMARMSS'), 49.0: ('17/04/2025', 'SCWK38FINALPP')}"
4399,SCWK38FINALPP,17/04/2025,113630,Georgina Shirt,Womenswear,White,1,59.0,"{79.0: ('19/11/2024', 'SCWWBFWK14'), 59.0: ('17/04/2025', 'SCWK38FINALPP')}"
