markdown_id,markdown_description,date,style_code,description,department,colour,soh,price,price_history
3889,SCEOSSWK44,25/05/2021,108230,Eva Capri,Womenswear,Black,0,49.0,"{129.0: ('21/05/2020', 'SCWWEOSSWK43'), 99.0: ('09/03/2021', 'SCWWMSSWK33'), 49.0: ('25/05/2021', 'SCEOSSWK44')}"
4180,Nothing,16/01/2024,108230,Eva Capri,Womenswear,Navy,0,39.0,"{129.0: ('21/05/2020', 'SCWWEOSSWK43'), 99.0: ('09/03/2021', 'SCWWMSSWK33'), 49.0: ('25/05/2021', 'SCEOSSWK44'), 39.0: ('16/01/2024', 'Nothing')}"
3931,SCMSSWK202206,07/09/2021,109310,Martina Short,Womenswear,White,0,29.0,"{69.0: ('21/05/2020', 'SCWWEOSSWK43'), 49.0: ('27/12/2020', 'SCWWEOSSWK23'), 29.0: ('07/09/2021', 'SCMSSWK202206')}"
3931,SCMSSWK202206,07/09/2021,110150,Eva Short,Womenswear,Black,0,29.0,"{69.0: ('21/05/2020', 'SCWWEOSSWK43'), 49.0: ('09/03/2021', 'SCWWMSSWK33'), 29.0: ('07/09/2021', 'SCMSSWK202206')}"
3931,SCMSSWK202206,07/09/2021,110150,Eva Short,Womenswear,Navy,0,29.0,"{69.0: ('21/05/2020', 'SCWWEOSSWK43'), 49.0: ('09/03/2021', 'SCWWMSSWK33'), 29.0: ('07/09/2021', 'SCMSSWK202206')}"
3889,SCEOSSWK44,25/05/2021,110300,Eva Capri,Womenswear,Black,0,49.0,"{129.0: ('21/05/2020', 'SCWWEOSSWK43'), 99.0: ('09/03/2021', 'SCWWMSSWK33'), 49.0: ('25/05/2021', 'SCEOSSWK44')}"
3889,SCEOSSWK44,25/05/2021,110300,Eva Capri,Womenswear,Navy,0,49.0,"{129.0: ('21/05/2020', 'SCWWEOSSWK43'), 99.0: ('09/03/2021', 'SCWWMSSWK33'), 49.0: ('25/05/2021', 'SCEOSSWK44')}"
3889,SCEOSSWK44,25/05/2021,110330,Martina Capri,Womenswear,White,0,29.0,"{99.0: ('21/05/2020', 'SCWWEOSSWK43'), 79.0: ('12/06/2020', 'SCWWEOSSWK46'), 49.0: ('27/12/2020', 'SCWWEOSSWK23'), 29.0: ('25/05/2021', 'SCEOSSWK44')}"
3931,SCMSSWK202206,07/09/2021,110331,Martina Short,Womenswear,White,0,29.0,"{69.0: ('21/05/2020', 'SCWWEOSSWK43'), 49.0: ('27/12/2020', 'SCWWEOSSWK23'), 29.0: ('07/09/2021', 'SCMSSWK202206')}"
3764,SCWWW20MSSWK33,13/03/2020,111632,Rosa Stretch Li,Womenswear,Dk Navy,0,69.0,"{69.0: ('13/03/2020', 'SCWWW20MSSWK33')}"
