
           STOCK REFILL REPORT

Transaction Date From: 16/04/2022 
________________________________________________________
Product    Colour     Name             Size    Sold  SOH
________________________________________________________
112708     ClassicNav Daisy Linen Shi  6          3    0
112708     ClassicNav Daisy Linen Shi  8          1    0
112708     ClassicNav Daisy Linen Shi  10         2    0
112708     ClassicNav Daisy Linen Shi  12         3    0
112708     White      Daisy Linen Shi  8          1    0
112708     White      Daisy Linen Shi  10         1    0
112708     White      Daisy Linen Shi  12         2    0
112708E    White      Daisy Linen Shi  20         1    0
112740     Bone       Laura Relaxed C  6          1    0
112740     Bone       Laura Relaxed C  8          1    0
112740     Bone       Laura Relaxed C  12         2    0
112740     Bone       Laura Relaxed C  14         1    0
112740     Bone       Laura Relaxed C  16         3    0
112740     Bone       Laura Relaxed C  18         3    0
112740     ClassicNav Laura Relaxed C  14         4    0
113032     Bone       Laura Chino Sho  6          1    0
113032     Bone       Laura Chino Sho  8          5    0
113032     Bone       Laura Chino Sho  10         7    0
113032     Bone       Laura Chino Sho  12        14    0
113032     Bone       Laura Chino Sho  14         3    0
113032     Bone       Laura Chino Sho  16         3    0
113032     ClassicNav Laura Chino Sho  6          2    0
113032     ClassicNav Laura Chino Sho  8          7    0
113032     ClassicNav Laura Chino Sho  10        15    0
113032     ClassicNav Laura Chino Sho  12        11    0
113032     ClassicNav Laura Chino Sho  14         4    0
113032     ClassicNav Laura Chino Sho  16         4    0
113032     ClassicNav Laura Chino Sho  18         1    0
113032     Cobalt     Laura Chino Sho  6          1    0
113032     Cobalt     Laura Chino Sho  8          1    0
113032     Cobalt     Laura Chino Sho  10         1    0
113032     Cobalt     Laura Chino Sho  12         1    0
113032     Cobalt     Laura Chino Sho  16         1    0
113032     Cobalt     Laura Chino Sho  18         1    0
113032     Emerald    Laura Chino Sho  8          2    0
113032     Emerald    Laura Chino Sho  10         1    0
113032     Emerald    Laura Chino Sho  12         3    0
113032     Emerald    Laura Chino Sho  16         3    0
113032     Green      Laura Chino Sho  6          1    0
113032     Green      Laura Chino Sho  8          2    0
113032     Green      Laura Chino Sho  10         2    0
113032     Green      Laura Chino Sho  12         1    0
113032     Green      Laura Chino Sho  18         1    0
113032     Ivory      Laura Chino Sho  6          1    0
113032     Ivory      Laura Chino Sho  8          3    0
113032     Ivory      Laura Chino Sho  10         7    0
113032     Ivory      Laura Chino Sho  12         5    0
113032     Ivory      Laura Chino Sho  14         3    0
113032     Ivory      Laura Chino Sho  16         4    0
113032     Ivory      Laura Chino Sho  18         2    0
113032     Khaki      Laura Chino Sho  8          1    0
113032     Khaki      Laura Chino Sho  10         1    0
113032     Khaki      Laura Chino Sho  12         1    0
113032     Sienna     Laura Chino Sho  6          1    0
113032     Sienna     Laura Chino Sho  8          4    0
113032     Sienna     Laura Chino Sho  10         5    0
113032     Sienna     Laura Chino Sho  12         7    0
113032     Sienna     Laura Chino Sho  14         1    0
113032     Sienna     Laura Chino Sho  16         1    0
113032     Sienna     Laura Chino Sho  18         1    0
113032     Tan        Laura Chino Sho  8          1    0
113032     Tan        Laura Chino Sho  10         1    0
113032     Tan        Laura Chino Sho  12         3    0
113032     Tan        Laura Chino Sho  16         1    0
113630     White      Georgina Shirt   8          4    0
113630     White      Georgina Shirt   10         8    0
113630     White      Georgina Shirt   12        10    0
113630     White      Georgina Shirt   14         4    0
113630     White      Georgina Shirt   16         2    0
113630     White      Georgina Shirt   18         2    0
113736     Pink       Daisy Linen Shi  6          1    0
113736     Pink       Daisy Linen Shi  8          2    0
113736     Pink       Daisy Linen Shi  10         5    0
113736     Pink       Daisy Linen Shi  12         2    0
113736     Pink       Daisy Linen Shi  14         3    0
113736     Pink       Daisy Linen Shi  16         1    0
113736     Pink       Daisy Linen Shi  18         1    0
113736E    Pink       Daisy Linen Shi  20         1    0
114425     Navy       Vera Quilted Ve  8          2    0
114425     Navy       Vera Quilted Ve  10         3    0
114425     Navy       Vera Quilted Ve  12         7    0
114425     Navy       Vera Quilted Ve  14         3    0
114425     Navy       Vera Quilted Ve  16         1    0
114425     Navy       Vera Quilted Ve  18         3    0
114425     Stone      Vera Quilted Ve  10         2    0
114425     Stone      Vera Quilted Ve  12         3    0
114425     Stone      Vera Quilted Ve  14         1    0
114425     Stone      Vera Quilted Ve  16         1    0
114425     Stone      Vera Quilted Ve  18         1    0
114539     Black      Jackie H/W Skin  6          3    0
114539     Black      Jackie H/W Skin  8          5    0
114539     Black      Jackie H/W Skin  10        17    0
114539     Black      Jackie H/W Skin  12        14    0
114539     Black      Jackie H/W Skin  14         9    0
114539     Black      Jackie H/W Skin  16         7    0
114540     Dk Wash    Jackie H/W Skin  10         1    0
114540     Mid Wash   Jackie H/W Skin  6          5    1
114540     Mid Wash   Jackie H/W Skin  8          9    0
114540     Mid Wash   Jackie H/W Skin  10        15    0
