day,date,tender,value
Saturday,2022-04-16,CASH,160.0
Saturday,2022-04-16,Gift Voucher,20.0
Saturday,2022-04-16,Integrated EFTPOS,7836.33
Monday,2022-04-18,Integrated EFTPOS,3591.76
Tuesday,2022-04-19,Integrated EFTPOS,3555.23
Tuesday,2022-04-19,PayPal,-268.99
Wednesday,2022-04-20,Integrated EFTPOS,2473.3
Thursday,2022-04-21,Afterpay POS API Payment,-322.59
Thursday,2022-04-21,CASH,126.0
Thursday,2022-04-21,Gift Voucher,20.0
Thursday,2022-04-21,Integrated EFTPOS,5326.59
Friday,2022-04-22,Gift Voucher,20.0
Friday,2022-04-22,Integrated EFTPOS,3807.2
Saturday,2022-04-23,Gift Voucher,20.0
Saturday,2022-04-23,Integrated EFTPOS,5668.04
Saturday,2022-04-23,PayPal,-263.98
Sunday,2022-04-24,Gift Voucher,125.99
Sunday,2022-04-24,Integrated EFTPOS,3717.01
Monday,2022-04-25,Integrated EFTPOS,1500.88
Tuesday,2022-04-26,Gift Voucher,20.0
Tuesday,2022-04-26,Integrated EFTPOS,3811.07
Tuesday,2022-04-26,PayPal,-101.6
Wednesday,2022-04-27,Account,189.99
Wednesday,2022-04-27,Gift Voucher,20.0
Wednesday,2022-04-27,Integrated EFTPOS,3537.61
Thursday,2022-04-28,Integrated EFTPOS,5910.08
Friday,2022-04-29,Account,429.98
Friday,2022-04-29,Gift Voucher,20.0
Friday,2022-04-29,Integrated EFTPOS,5560.79
Saturday,2022-04-30,Gift Voucher,20.0
Saturday,2022-04-30,Integrated EFTPOS,7991.68
Sunday,2022-05-01,Integrated EFTPOS,5503.83
Sunday,2022-05-01,PayPal,-158.4
Monday,2022-05-02,Integrated EFTPOS,2867.3
Monday,2022-05-02,Mail Order Pickup,151.99
Tuesday,2022-05-03,Integrated EFTPOS,3652.67
Wednesday,2022-05-04,Gift Voucher,40.0
Wednesday,2022-05-04,Integrated EFTPOS,5552.33
Thursday,2022-05-05,Integrated EFTPOS,3064.74
Friday,2022-05-06,Integrated EFTPOS,3309.45
Saturday,2022-05-07,Account,199.99
Saturday,2022-05-07,Gift Voucher,20.0
Saturday,2022-05-07,Integrated EFTPOS,14744.98
Sunday,2022-05-08,Gift Voucher,100.0
Sunday,2022-05-08,Integrated EFTPOS,6593.61
Monday,2022-05-09,Integrated EFTPOS,3595.64
Tuesday,2022-05-10,Integrated EFTPOS,2267.33
Wednesday,2022-05-11,Integrated EFTPOS,3488.13
Thursday,2022-05-12,Integrated EFTPOS,1668.36
Thursday,2022-05-12,PayPal,-326.48
Friday,2022-05-13,Integrated EFTPOS,2336.02
Saturday,2022-05-14,CASH,370.0
Saturday,2022-05-14,Gift Voucher,50.0
Saturday,2022-05-14,Integrated EFTPOS,3651.71
Sunday,2022-05-15,Integrated EFTPOS,3785.71
Monday,2022-05-16,Integrated EFTPOS,4002.2
Tuesday,2022-05-17,Integrated EFTPOS,2301.86
Wednesday,2022-05-18,Account,789.97
Wednesday,2022-05-18,Integrated EFTPOS,2750.75
Thursday,2022-05-19,Gift Voucher,30.0
Thursday,2022-05-19,Integrated EFTPOS,2680.79
Friday,2022-05-20,Integrated EFTPOS,3082.67
Saturday,2022-05-21,Integrated EFTPOS,5862.61
Sunday,2022-05-22,Gift Voucher,20.0
Sunday,2022-05-22,Integrated EFTPOS,5050.72
Monday,2022-05-23,Integrated EFTPOS,2674.76
Tuesday,2022-05-24,Integrated EFTPOS,2696.78
Wednesday,2022-05-25,Integrated EFTPOS,2677.8
Thursday,2022-05-26,Integrated EFTPOS,3534.76
Friday,2022-05-27,Integrated EFTPOS,2207.84
Saturday,2022-05-28,Integrated EFTPOS,8879.79
Saturday,2022-05-28,PayPal,-254.39
Sunday,2022-05-29,Gift Voucher,20.0
Sunday,2022-05-29,Integrated EFTPOS,6972.31
Sunday,2022-05-29,PayPal,-62.4
Monday,2022-05-30,Integrated EFTPOS,240.97
Tuesday,2022-05-31,Gift Voucher,20.0
Tuesday,2022-05-31,Integrated EFTPOS,4503.75
Wednesday,2022-06-01,Gift Voucher,20.0
