style,colour,qty,avg_price,net_$
115359,Black,107,168.34,18001.93
119448,Whit/Navy,107,89.4,9556.93
115359,ClassicNav,96,168.32,16132.04
115179,White,92,147.4,13451.58
116209,ClassicNav,83,99.12,8224.17
115179,ClassicNav,80,148.87,11903.21
115179,Natural,79,147.94,11659.22
115179,Black,77,144.53,11205.27
207135G1,White,75,59.69,4478.26
119448,Navy,73,89.75,6548.28
117610,Navy/Whit,72,79.99,5759.28
114948,Indigo,67,149.31,9998.34
207135G1,French Nvy,66,57.67,3851.36
116209,Natural,63,98.65,6254.37
118286,White,62,138.89,8602.38
115179,Khaki,61,142.28,8633.45
207713,Limestone,61,99.71,6078.4
207713,French Nvy,61,97.92,5990.43
206637,French Nvy,59,148.36,8730.92
115179,Indigo,59,141.71,8278.48
118059,Ivory,59,78.81,4598.08
115359,Cappuccino,58,169.01,9791.42
116295,White,57,136.71,7741.43
118286,Pink,57,135.61,7677.67
117610,White,57,79.73,4543.43
206549,French Nvy,56,175.28,9792.45
116517,Navy/Whit,56,79.81,4468.45
207135G1,Black,55,59.51,3275.45
206531,French Nvy,54,168.08,9050.47
206637,Limestone,52,149.14,7748.49
207144,White,52,129.44,6726.98
119190,ClassicNav,52,125.96,6595.68
116209,White,52,99.0,5134.48
116517,White,52,79.3,4118.49
117650,White,51,119.2,6017.61
119099,White,51,46.79,2380.06
115359,Silver,50,167.49,8334.51
116295,Natural,50,138.24,6894.5
116209,Black,50,98.74,4929.5
206531,Deep Grey,48,142.49,6631.03
116295,ClassicNav,48,137.29,6571.53
207144,ClassicNav,48,129.46,6211.26
207144,Frost Blue,48,128.64,6166.72
119448,Khaki,48,89.0,4268.53
118019,Navy,47,167.26,7817.83
117720,Navy,45,198.15,8909.55
116517,Navy,44,79.17,3520.55
206531,Black,43,171.12,7269.59
207747,White,43,139.27,5984.57
206531,Chestnut,43,138.95,5914.07
117533,Bone,42,132.24,5660.67
114951,Navy,42,130.68,5493.41
206726,Airfr Blue,42,96.74,4030.61
115816,Blue Wash,41,146.69,6001.1
207713,Milk,41,99.56,4079.59
207713,Khaki,41,97.88,4038.59
119110,Sand,40,428.89,16522.88
116295,Black,40,132.03,5233.66
115358,Black,40,95.99,3620.2
114852,White,40,69.99,2799.6
118684,Whit/Navy,40,62.56,2507.62
116295,Indigo,39,134.62,5239.63
116209,Khaki,39,97.19,3773.62
114852G1,White,39,69.26,2691.11
117434,String,38,354.03,13803.63
116284,White,38,168.29,6388.62
114951,Black,38,153.32,5657.17
118100,Black,38,122.87,4354.34
115453,Navy Multi,37,164.1,6060.15
116295,Khaki,37,134.79,4935.67
119638,Whit/Blue,37,89.99,3329.63
118179,Blue/White,37,83.1,3129.17
206531,Sand,36,172.91,6276.65
115356,ClassicNav,36,173.99,6245.64
118516,Blue Wash,36,166.09,5932.64
207714,French Nvy,36,127.25,4575.64
207135G1,Pl Blue,36,57.22,2096.67
118773,Navy,35,146.47,5079.75
117432,Dk Wash,35,124.17,4328.65
114539,Black,35,110.77,3761.79
207142,Black,35,56.52,2044.8
117720,Winter Wht,34,197.63,6719.66
117533,ClassicNav,34,139.36,4774.19
119086,Navy/Whit,34,86.2,2934.68
119469,Navy/Whit,34,84.54,2852.9
114852,Black,34,69.65,2368.67
117139,Dk Wash,33,148.68,4898.68
206750G1,Whit/Navy,33,59.99,1979.67
119390,Blue/Multi,33,59.98,1919.35
206531,Fatigue,32,172.07,5554.68
206531,Chocolate,32,170.25,5428.69
117399,Navy,32,131.64,4212.72
207713,Olive,32,99.37,3178.69
