dept,sub_dept,type,description,quantity,gross_sale
AC,A,Women,Accessories,22,2079.78
AC,B,Men,Bag,3,1199.97
AC,B,Women,Bag,19,1387.99
AC,B,Men,Belt,76,7266.59
AC,B,Women,Belt,26,2959.74
AC,B,Women,Books,8,294.97
AC,B,AC,Boys 3-10,31,670.99
AC,G,AC,Girls 3-10,19,428.98
AC,G,AC,Girls Other,6,149.99
AC,H,Men,Hat,102,4389.23
AC,H,Women,Hat,30,986.02
AC,O,Men,Other,44,1672.83
AC,O,Women,Other,23,118.04
AC,S,Women,Scarf,72,6923.62
AC,U,AC,Unisex Book,1,15.0
AC,U,AC,Unisex Gifting,132,3177.97
AC,U,AC,Unisex Shoes,0,0.0
AC,U,AC,Unisex Toy,20,1148.12
AO,B,AIO,Baby Boys 000-2,25,1098.96
AO,B,AIO,Baby Girls 000-2,136,5577.2
AO,B,AIO,Boys 3-10,25,1182.7
AO,G,AIO,Girls 3-10,61,2741.97
AO,U,AIO,Unisex 000-2,12,436.3
CS,3,C&S,3/4 Slv,739,62340.3
CS,B,C&S,Baby Boys 000-2,51,1475.88
CS,B,C&S,Baby Girls 000-2,69,1840.92
CS,B,C&S,Boys 3-10,180,5027.49
CS,G,C&S,Girls 3-10,103,3417.28
CS,L,C&S,Lng Slv,1096,88654.42
CS,O,C&S,Other,387,32655.85
CS,P,C&S,Polo,1163,84163.44
CS,S,C&S,Sht Slv,1877,133460.5
CS,S,C&S,Slvss,143,8346.24
CS,S,C&S,Sweat,88,9899.74
CS,T,C&S,T-Shirt,667,41999.88
CS,U,C&S,Unisex 000-2,14,262.0
CS,U,C&S,Unisex 3-10,4,54.0
DN,5,Denim,5 Pocket,586,85005.76
DN,R,Denim,Relaxed,151,24182.11
DN,S,Denim,Skinny,75,8456.48
DN,S,Denim,Slim,1,39.0
DR,B,Dress,Baby Girls 000-2,111,5871.08
DR,G,Dress,Girls 3-10,123,8334.63
DR,K,Dress,Knit,13,1851.1
DR,L,Dress,Lng Slv,43,8936.49
DR,L,Dress,Long,95,21722.53
DR,S,Dress,Short,81,18327.35
DR,S,Dress,Sht Slv,150,30139.92
DR,S,Dress,Slvss,35,6787.15
DR,W,Dress,Woven,54,7917.58
JC,B,Jacket,Baby Boys 000-2,29,1627.93
JC,B,Jacket,Baby Girls 000-2,29,1734.96
JC,B,Jacket,Boys 3-10,40,2585.27
JC,D,Jacket,Denim,6,1499.94
JC,G,Jacket,Girls 3-10,112,8725.47
JC,K,Jacket,Knit,7,1399.93
JC,L,Jacket,Jacket,621,177050.21
JC,O,Jacket,Other,324,91847.56
JC,V,Jacket,Vest,107,20271.99
JC,W,Jacket,Outerwear,125,46900.93
KN,B,Knit,Baby Boys 000-2,16,783.95
KN,B,Knit,Baby Girls 000-2,42,1697.92
KN,B,Knit,Boys 3-10,29,1471.34
KN,C,Knit,Cardigan,450,94903.21
KN,G,Knit,Girls 3-10,54,2099.07
KN,J,Knit,Jacket,5,1499.95
KN,L,Knit,Lng Slv,1186,198594.93
KN,O,Knit,Other,95,13463.24
KN,S,Knit,Sht Slv,455,56348.77
KN,S,Knit,Slvss,72,10234.92
KN,T,Knit,Top,192,30729.82
PN,5,Pant,5 Pocket,635,97308.49
PN,B,Pant,Baby Boys 000-2,25,1190.81
PN,B,Pant,Baby Girls 000-2,32,1532.88
PN,B,Pant,Boys 3-10,85,4464.82
PN,C,Pant,Full Length,552,88001.2
PN,C,Pant,Capri,631,99032.67
PN,C,Pant,Crop,373,49451.09
PN,F,Pant,Full Length,765,109648.26
PN,G,Pant,Girls 3-10,42,1944.02
PN,K,Pant,Knit,30,4338.71
PN,L,Pant,Leather,1,249.0
PN,O,Pant,Other,545,75297.6
PN,S,Pant,Slim 7/8,91,14616.56
PN,S,Pant,Slim Full Length,198,30641.57
PN,U,Pant,Unisex 000-2,21,391.4
PN,W,Pant,Wide Full Length,117,19625.37
PN,W,Pant,Woven,15,1863.93
SH,B,Shirt,Baby Boys 000-2,86,2776.06
SH,B,Shirt,Boys 3-10,152,5738.36
SH,G,Shirt,Girls 3-10,65,2446.17
SH,L,Shirt,LS Reg,1017,119929.26
SH,L,Shirt,LS Tapd,98,6750.0
SH,L,Shirt,Lng Slv,1598,209361.94
SH,S,Shirt,SS Reg,987,112204.08
SH,S,Shirt,SS Tapd,169,17380.93
SH,S,Shirt,Sht Slv,414,53161.06
SH,S,Shirt,Slvss,69,8940.74
SH,W,Shirt,Woven,41,6052.96
SK,A,Skirt,A Line,16,2697.84
SK,B,Skirt,Bias,35,6846.66
SK,D,Skirt,Denim,100,13144.22
SK,G,Skirt,Girls 3-10,82,4126.57
SK,K,Skirt,Knee Lng,16,1719.94
SK,K,Skirt,Knit,13,2021.1
SK,L,Skirt,Leather,1,199.0
SK,L,Skirt,Long,67,12451.41
SK,O,Skirt,Other,5,785.0
SK,P,Skirt,Pleated,36,6011.48
SK,W,Skirt,Woven,26,3805.88
SM,O,Swim,One Piece,28,2506.95
SM,T,Swim,Two Piece,72,4163.41
SR,B,Short,Baby Boys 000-2,56,1752.91
SR,B,Short,Baby Girls 000-2,30,1015.93
SR,B,Short,Boys 3-10,101,3553.64
SR,D,Short,Denim,15,1553.91
SR,G,Short,Girls 3-10,101,4071.98
SR,S,Short,Short,1192,117148.46
SR,W,Short,Woven,683,68290.54
