style,colour,qty,avg_price,net_$
115179,White,104,147.35,15213.96
115359,Black,101,168.32,16981.99
115359,ClassicNav,94,168.29,15792.06
115179,Black,94,144.6,13659.38
115179,Natural,92,147.95,13579.09
115179,ClassicNav,91,148.38,13493.1
116209,ClassicNav,90,98.79,8884.1
119448,Whit/Navy,87,89.27,7757.13
118286,White,79,138.78,10954.21
115179,Khaki,76,143.84,10883.3
207135G1,White,72,59.68,4298.29
116209,Natural,71,98.5,7029.3
117610,Navy/Whit,71,79.99,5679.29
115179,Indigo,67,142.57,9478.4
119448,Navy,66,89.72,5918.35
118286,Pink,63,135.96,8517.61
207135G1,French Nvy,63,57.75,3683.39
206637,French Nvy,61,148.36,9030.9
116517,White,60,78.4,4671.2
114852,White,60,69.99,4199.4
114948,Indigo,59,149.2,8798.42
116295,Natural,59,138.11,8126.41
116295,White,59,137.41,8049.41
116209,White,59,99.09,5834.41
116209,Black,59,98.57,5804.42
116517,Navy/Whit,59,79.82,4708.42
118059,Ivory,59,78.81,4598.08
118179,Blue/White,58,85.03,4993.96
117610,White,58,79.08,4584.43
115359,Cappuccino,57,169.03,9621.43
207713,Limestone,57,99.7,5678.44
207713,French Nvy,57,97.8,5590.47
206549,French Nvy,55,176.5,9690.49
206637,Limestone,55,148.62,8160.96
207135G1,Black,55,59.51,3275.45
116295,ClassicNav,54,137.19,7389.07
117650,White,54,119.79,6407.58
115359,Silver,53,168.62,8915.47
207144,ClassicNav,53,129.49,6861.21
206726,Airfr Blue,52,97.26,5030.51
116517,Navy,52,79.0,4130.49
206531,French Nvy,51,168.09,8530.5
119190,ClassicNav,51,125.89,6465.69
119099,White,51,46.79,2380.06
206531,Deep Grey,50,143.85,6991.01
207144,White,50,129.2,6454.01
207144,Frost Blue,49,128.66,6296.71
119448,Khaki,48,89.0,4268.53
116295,Indigo,47,134.99,6334.55
206531,Chestnut,46,140.54,6404.04
117533,Bone,45,135.79,6110.64
116209,Khaki,45,96.53,4323.58
117434,String,44,360.57,15752.58
116295,Khaki,44,134.53,5865.2
113032,ClassicNav,44,95.18,4173.57
207142,Black,44,61.43,2726.49
115358,Black,43,98.86,3975.04
114951,Navy,42,130.68,5493.41
114852,Black,42,69.72,2928.59
114951,Black,41,155.87,6257.14
118100,Black,41,124.5,4804.31
118516,Blue Wash,40,165.89,6578.6
116295,Black,40,132.03,5233.66
118684,Whit/Navy,40,62.56,2507.62
117720,Navy,39,197.79,7709.61
116284,White,39,168.33,6558.61
115453,Navy Multi,39,162.52,6323.63
207747,White,39,139.21,5424.61
207713,Milk,39,99.52,3879.61
119110,Sand,37,426.55,15172.91
115358,ClassicNav,37,119.09,4373.75
114539,Black,37,111.97,4024.27
206726,Limestone,37,99.47,3674.63
206726,Olive,37,98.8,3648.64
114852,Navy,37,69.99,2589.63
206750G1,Whit/Navy,37,59.99,2219.63
206531,Black,36,174.12,6209.66
118019,Navy,36,166.55,5947.94
206726,Tan,36,99.99,3599.64
207713,Khaki,36,98.46,3574.64
118408,Navy,36,69.93,2517.76
207135G1,Pl Blue,36,58.24,2096.67
118019,Ivory,35,161.23,5520.88
115816,Blue Wash,35,147.72,5161.16
118773,Navy,35,146.47,5079.75
117533,ClassicNav,35,139.6,4924.18
117399,Navy,35,133.14,4632.69
207714,French Nvy,35,127.17,4445.65
114852G1,White,35,69.61,2432.15
206531,Mid Blue,34,176.88,6002.66
206531,Sand,34,174.62,5966.67
207269G1,White,34,129.91,4461.66
119086,Navy/Whit,34,86.2,2934.68
119469,Navy/Whit,34,84.54,2852.9
207143,Ink Mel,34,77.54,2636.69
118152,Navy,34,63.59,2163.66
206578,Navy,33,135.23,4272.76
119390,Blue/Multi,33,59.98,1919.35
207135G1,Mulberry,33,53.1,1738.78
206531,Bluestone,33,50.76,1675.25
206531,Chocolate,32,171.31,5464.69
118382,White,32,127.46,4068.68
117432,Dk Wash,32,126.83,4055.68
206726,White,32,98.19,3138.69
113032,Bone,32,96.05,3077.7
207142,Navy,32,57.16,1839.82
207721,Chambray,31,137.86,4269.69
115179,Morc Blue,31,108.87,3293.05
118886,Navy/Whit,31,86.62,2671.91
118152,White,31,60.35,1871.73
117241,Navy,31,57.64,1782.44
206531,Fatigue,30,175.82,5274.7
118283,ClassicNav,30,171.79,5153.71
207211,Vint Wash,30,157.32,4823.7
206867,Raw Indigo,30,157.99,4735.7
118286,ClassicNav,30,126.45,3793.76
207713,Olive,30,99.33,2978.71
207713,White,30,96.89,2898.71
119243,Blue/Multi,30,84.93,2599.72
116517,Cerise,30,74.64,2213.76
SPKBOT0084,Multi,30,67.67,2030.37
117256,Navy/Whit,30,59.49,1819.7
117665,Hazelnut,29,255.82,7494.81
206549,Black,29,174.42,5004.92
206637,Moss,29,137.02,3921.79
119327,Blue/White,29,125.82,3640.72
117651,White,29,121.19,3514.76
207713,Black,29,98.67,2899.71
118859,Whit/Navy,29,82.84,2523.72
119315,White Mult,29,82.84,2373.77
117720,Winter Wht,28,198.56,5559.72
119325,ClassicNav,28,162.7,4555.75
119122,White,28,149.99,4199.72
118162,Tan,28,138.68,3920.02
206637,Azure,28,139.49,3884.77
207747,Navy,28,138.78,3884.72
206576,Navy,28,144.53,3748.83
118286,Lt Blue,28,131.62,3668.73
207714,Limestone,28,129.99,3639.72
118564,Navy,28,123.15,3341.05
