day,date,tender,docket_no,sales_rep,time,value
Saturday,2022-04-16,CASH,D36300000043,Jessie,2025-05-06 15:56:00,160.0
Saturday,2022-04-16,CASH,D36300000045,Shabair,2025-05-06 16:06:00,136.0
Saturday,2022-04-16,CASH,D36300000048,Shabair,2025-05-06 16:16:00,-136.0
Saturday,2022-04-16,Gift Voucher,D36300000042,Shabair,2025-05-06 15:36:00,20.0
Saturday,2022-04-16,Integrated EFTP,D36300000009,Georgia,2025-05-06 09:29:00,183.99
Saturday,2022-04-16,Integrated EFTP,D36300000010,Jessie,2025-05-06 09:33:00,231.98
Saturday,2022-04-16,Integrated EFTP,D36300000011,Jessie,2025-05-06 09:42:00,159.99
Saturday,2022-04-16,Integrated EFTP,D36300000012,Jessie,2025-05-06 09:46:00,175.99
Saturday,2022-04-16,Integrated EFTP,D36300000013,Shabair,2025-05-06 09:53:00,247.98
Saturday,2022-04-16,Integrated EFTP,D36300000014,Shabair,2025-05-06 09:58:00,391.96
Saturday,2022-04-16,Integrated EFTP,D36300000015,Jessie,2025-05-06 10:07:00,135.97
Saturday,2022-04-16,Integrated EFTP,D36300000016,Jessie,2025-05-06 10:14:00,127.99
Saturday,2022-04-16,Integrated EFTP,D36300000017,Jessie,2025-05-06 10:37:00,119.99
Saturday,2022-04-16,Integrated EFTP,D36300000018,Shabair,2025-05-06 10:49:00,455.96
Saturday,2022-04-16,Integrated EFTP,D36300000019,Georgia,2025-05-06 11:25:00,127.99
Saturday,2022-04-16,Integrated EFTP,D36300000020,Jessie,2025-05-06 11:25:00,255.98
Saturday,2022-04-16,Integrated EFTP,D36300000021,Jessie,2025-05-06 11:35:00,503.97
Saturday,2022-04-16,Integrated EFTP,D36300000022,Gabrielle,2025-05-06 11:34:00,215.98
Saturday,2022-04-16,Integrated EFTP,D36300000023,Shabair,2025-05-06 11:36:00,87.99
Saturday,2022-04-16,Integrated EFTP,D36300000024,Shabair,2025-05-06 11:40:00,87.99
Saturday,2022-04-16,Integrated EFTP,D36300000025,Jessie,2025-05-06 11:47:00,63.99
Saturday,2022-04-16,Integrated EFTP,D36300000026,Jessie,2025-05-06 11:55:00,183.98
