markdown_id,markdown_description,date,style_code,description,department,colour,soh,price,price_history
4365,SCFEBSALEFURTHERS,30/01/2025,114540E,Jackie H/W Skin,Womenswear,Mid Wash,2,59.0,"{99.0: ('28/05/2024', 'SCW24EOSS'), 79.0: ('20/06/2024', 'SCW24EOSSFURPP'), 59.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4227,SCW24FINALPP,11/04/2024,114954,Jackie H/W Skin,Womenswear,Dk Wash,1,39.0,"{79.0: ('30/09/2022', 'WK9SEPWWCLN'), 59.0: ('16/01/2024', 'Nothing'), 39.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,114954E,Jackie H/W Skin,Womenswear,Dk Wash,1,39.0,"{79.0: ('30/09/2022', 'WK9SEPWWCLN'), 59.0: ('16/01/2024', 'Nothing'), 39.0: ('11/04/2024', 'SCW24FINALPP')}"
4262,SCW24EOSSFURPP,20/06/2024,115179E,Rosa Linen Pant,Womenswear,ClassicNav,3,79.0,"{99.0: ('28/05/2024', 'SCW24EOSS'), 79.0: ('20/06/2024', 'SCW24EOSSFURPP')}"
4262,SCW24EOSSFURPP,20/06/2024,115179E,Rosa Linen Pant,Womenswear,Khaki,9,79.0,"{99.0: ('28/05/2024', 'SCW24EOSS'), 79.0: ('20/06/2024', 'SCW24EOSSFURPP')}"
4262,SCW24EOSSFURPP,20/06/2024,115358E,Eva Short,Womenswear,Black,1,49.0,"{69.0: ('28/05/2024', 'SCW24EOSS'), 49.0: ('20/06/2024', 'SCW24EOSSFURPP')}"
4262,SCW24EOSSFURPP,20/06/2024,115359E,Evie Capri,Womenswear,Black,4,79.0,"{99.0: ('28/05/2024', 'SCW24EOSS'), 79.0: ('20/06/2024', 'SCW24EOSSFURPP')}"
4262,SCW24EOSSFURPP,20/06/2024,115359E,Evie Capri,Womenswear,ClassicNav,6,79.0,"{99.0: ('28/05/2024', 'SCW24EOSS'), 79.0: ('20/06/2024', 'SCW24EOSSFURPP')}"
4262,SCW24EOSSFURPP,20/06/2024,116209E,Rosa Linen Shor,Womenswear,Natural,2,49.0,"{69.0: ('28/05/2024', 'SCW24EOSS'), 49.0: ('20/06/2024', 'SCW24EOSSFURPP')}"
4262,SCW24EOSSFURPP,20/06/2024,116295E,Rosa Crop Linen,Womenswear,ClassicNav,1,79.0,"{99.0: ('28/05/2024', 'SCW24EOSS'), 79.0: ('20/06/2024', 'SCW24EOSSFURPP')}"
4227,SCW24FINALPP,11/04/2024,116667,Tahlia Merc Cot,Womenswear,Navy,1,19.0,"{19.0: ('11/04/2024', 'SCW24FINALPP')}"
4227,SCW24FINALPP,11/04/2024,117434,Freya Linen Bla,Womenswear,Navy,7,99.0,"{149.0: ('30/05/2023', 'SCW23EOSS'), 99.0: ('11/04/2024', 'SCW24FINALPP'), 199.0: ('04/03/2025', 'SCWWMARMSS')}"
4073,SCW23MSS,14/03/2023,117533,Laura Relaxed C,Womenswear,White,-1,79.0,"{79.0: ('04/03/2025', 'SCWWMARMSS')}"
4365,SCFEBSALEFURTHERS,30/01/2025,117720,Baby Cable Swea,Womenswear,Pl Blue,12,89.0,"{129.0: ('21/08/2024', 'SCS24MSSV1'), 89.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4314,SCFINALPPA,03/10/2024,118100,Simone Straight,Womenswear,Black,1,59.0,"{99.0: ('21/08/2024', 'SCS24MSSV1'), 79.0: ('17/09/2024', 'SCS24SEPFUR'), 59.0: ('03/10/2024', 'SCFINALPPA')}"
4368,SCWWMARMSS,04/03/2025,118382,Brodie Denim Sk,Womenswear,White,2,79.0,"{79.0: ('04/03/2025', 'SCWWMARMSS')}"
4286,SCS24MSSV1,21/08/2024,118975,SC Zip Funnel N,Womenswear,Navy,9,49.0,"{49.0: ('21/08/2024', 'SCS24MSSV1')}"
4368,SCWWMARMSS,04/03/2025,119278,Tonia Linen Tan,Womenswear,Khaki,1,79.0,"{79.0: ('04/03/2025', 'SCWWMARMSS')}"
4368,SCWWMARMSS,04/03/2025,119505,Rosa Bead Trim,Womenswear,Black,2,79.0,"{79.0: ('04/03/2025', 'SCWWMARMSS')}"
4368,SCWWMARMSS,04/03/2025,119769,Elka Cable Crop,Womenswear,Sorren Blu,-1,79.0,"{79.0: ('04/03/2025', 'SCWWMARMSS')}"
4370,SCMWMARMSS,04/03/2025,206531,BEDFORD JEAN,Menswear,Deep Grey,-1,59.0,"{119.0: ('17/12/2024', 'SCMWBDWK19'), 99.0: ('24/12/2024', 'SCBOXINGDAYFURTHERS'), 79.0: ('30/01/2025', 'SCFEBSALEFURTHERS'), 59.0: ('04/03/2025', 'SCMWMARMSS')}"
4370,SCMWMARMSS,04/03/2025,207135G1,SUPERSOFT TEE,Menswear,Elm,1,39.0,"{39.0: ('04/03/2025', 'SCMWMARMSS')}"
4370,SCMWMARMSS,04/03/2025,207135G1,SUPERSOFT TEE,Menswear,Pl Blue,2,39.0,"{39.0: ('04/03/2025', 'SCMWMARMSS')}"
4370,SCMWMARMSS,04/03/2025,207268G1,SSL LINEN YD SH,Menswear,Chambray,1,49.0,"{89.0: ('17/12/2024', 'SCMWBDWK19'), 59.0: ('30/01/2025', 'SCFEBSALEFURTHERS'), 49.0: ('04/03/2025', 'SCMWMARMSS')}"
4365,SCFEBSALEFURTHERS,30/01/2025,207689,FARRER LINEN IT,Menswear,Dusty Pink,-1,99.0,"{299.0: ('17/12/2024', 'SCMWBDWK19'), 199.0: ('24/12/2024', 'SCBOXINGDAYFURTHERS'), 99.0: ('30/01/2025', 'SCFEBSALEFURTHERS')}"
4370,SCMWMARMSS,04/03/2025,207698,GILES SWIM SHOR,Menswear,Blue/Multi,-1,59.0,"{59.0: ('04/03/2025', 'SCMWMARMSS')}"
4370,SCMWMARMSS,04/03/2025,207723,SST WYN LIBERTY,Menswear,Multi,-1,49.0,"{129.0: ('19/11/2024', 'SCMWBFWK14'), 99.0: ('24/12/2024', 'SCBOXINGDAYFURTHERS'), 59.0: ('30/01/2025', 'SCFEBSALEFURTHERS'), 49.0: ('04/03/2025', 'SCMWMARMSS')}"
