product,colour,name,size,sold,soh
000999,_999,SABA STYLE,ONE SZ,1,1
110331,White,Martina Short,16,1,0
111750,Black,Eva Short,12,2,0
111750,Cappacino,Eva Short,8,1,0
111750,Cappacino,Eva Short,12,2,0
111750,Cappacino,Eva Short,14,2,0
111750,Cappacino,Eva Short,16,3,0
111750,ClassicNav,Eva Short,8,1,0
111750,ClassicNav,Eva Short,12,1,0
111750,Navy,Eva Short,18,2,0
111751,Navy/Whit,Juliet Shift Dr,8,1,0
111767,White,Martina Short,10,3,0
111767,White,Martina Short,12,3,0
111767,White,Martina Short,18,1,0
111791,White,Martina Capri,6,1,0
111791,White,Martina Capri,15,1,0
111791,White,Martina Capri,16,1,0
111791,White,Martina Capri,18,1,0
111800,Black,Eva Capri,8,2,0
111800,Black,Eva Capri,9,1,0
111800,Black,Eva Capri,10,3,0
111800,Black,Eva Capri,11,7,0
111800,Black,Eva Capri,12,6,0
111800,Black,Eva Capri,13,11,0
111800,Black,Eva Capri,14,6,0
111800,Black,Eva Capri,15,4,0
111800,Black,Eva Capri,16,11,0
111800,Black,Eva Capri,18,4,0
111800,Black,Eva Capri,20,1,0
111800,Black,Eva Capri,22,1,0
111800,ClassicNav,Eva Capri,8,1,0
111800,ClassicNav,Eva Capri,9,2,0
111800,ClassicNav,Eva Capri,10,1,0
111800,ClassicNav,Eva Capri,11,7,0
111800,ClassicNav,Eva Capri,12,1,0
111800,ClassicNav,Eva Capri,13,6,0
111800,ClassicNav,Eva Capri,14,3,0
111800,ClassicNav,Eva Capri,15,4,0
111800,ClassicNav,Eva Capri,16,5,0
111800,ClassicNav,Eva Capri,18,4,0
111800,ClassicNav,Eva Capri,22,1,0
111800,Navy,Eva Capri,9,1,0
111800,Silver,Eva Capri,6,1,0
111800,Silver,Eva Capri,8,1,0
111800,Silver,Eva Capri,10,1,0
111800,Silver,Eva Capri,11,2,0
111800,Silver,Eva Capri,12,1,0
111800,Silver,Eva Capri,13,2,0
111800,Silver,Eva Capri,14,3,0
111800,Silver,Eva Capri,16,1,0
111915,Black,Felicity Pull O,12,1,0
112059,Black,Esme Ponte Pant,6,2,0
112059,Black,Esme Ponte Pant,12,1,0
112059,Black,Esme Ponte Pant,14,1,0
112059,Navy,Esme Ponte Pant,6,1,0
112059,Navy,Esme Ponte Pant,8,2,0
112059,Navy,Esme Ponte Pant,10,2,0
112059,Navy,Esme Ponte Pant,12,1,0
112059,Navy,Esme Ponte Pant,14,1,0
112059,Navy,Esme Ponte Pant,16,2,0
112059,Navy,Esme Ponte Pant,18,2,0
112636,Cappacino,Evie Capri,6,4,0
112636,Cappacino,Evie Capri,8,5,0
112636,Cappacino,Evie Capri,9,6,0
112636,Cappacino,Evie Capri,10,6,0
112636,Cappacino,Evie Capri,11,4,0
112636,Cappacino,Evie Capri,12,5,0
112636,Cappacino,Evie Capri,13,7,0
112636,Cappacino,Evie Capri,14,6,0
112636,Cappacino,Evie Capri,15,3,0
112636,Cappacino,Evie Capri,16,3,0
112636,Cappacino,Evie Capri,18,3,0
112636,Cappacino,Evie Capri,20,1,0
112636,ClassicNav,Evie Capri,6,2,0
112636,ClassicNav,Evie Capri,8,1,0
112636,ClassicNav,Evie Capri,9,1,0
112636,ClassicNav,Evie Capri,13,1,0
112636,ClassicNav,Evie Capri,14,1,0
112636,ClassicNav,Evie Capri,15,2,0
112636,ClassicNav,Evie Capri,16,2,0
112636,ClassicNav,Evie Capri,18,2,0
112708,ClassicNav,Daisy Linen Shi,6,4,0
112708,ClassicNav,Daisy Linen Shi,8,13,0
112708,ClassicNav,Daisy Linen Shi,10,13,0
112708,ClassicNav,Daisy Linen Shi,12,21,0
112708,ClassicNav,Daisy Linen Shi,14,15,0
112708,ClassicNav,Daisy Linen Shi,16,7,0
112708,ClassicNav,Daisy Linen Shi,18,5,0
112708,Navy,Daisy Linen Shi,12,-1,0
112708,Powder Bl,Daisy Linen Shi,8,1,0
112708,Powder Bl,Daisy Linen Shi,12,1,0
112708,Powder Bl,Daisy Linen Shi,14,1,0
112708,Powder Bl,Daisy Linen Shi,16,1,0
112708,Powder Bl,Daisy Linen Shi,18,1,0
112708,Sky Blue,Daisy Linen Shi,6,2,0
112708,Sky Blue,Daisy Linen Shi,8,2,0
112708,Sky Blue,Daisy Linen Shi,10,4,0
112708,Sky Blue,Daisy Linen Shi,12,6,0
112708,Sky Blue,Daisy Linen Shi,14,1,0
112708,Sky Blue,Daisy Linen Shi,16,2,0
112708,Sky Blue,Daisy Linen Shi,18,1,0
112708,White,Daisy Linen Shi,6,10,0
112708,White,Daisy Linen Shi,8,12,0
112708,White,Daisy Linen Shi,10,21,0
112708,White,Daisy Linen Shi,12,17,0
112708,White,Daisy Linen Shi,14,9,0
112708,White,Daisy Linen Shi,16,6,0
112708,White,Daisy Linen Shi,18,1,0
112740,Bone,Laura Relaxed C,6,3,0
112740,Bone,Laura Relaxed C,8,6,0
112740,Bone,Laura Relaxed C,9,6,0
112740,Bone,Laura Relaxed C,10,14,0
112740,Bone,Laura Relaxed C,11,7,0
112740,Bone,Laura Relaxed C,12,20,0
112740,Bone,Laura Relaxed C,13,5,0
112740,Bone,Laura Relaxed C,14,7,0
112740,Bone,Laura Relaxed C,15,4,0
112740,Bone,Laura Relaxed C,16,6,0
112740,Bone,Laura Relaxed C,18,3,0
112740,ClassicNav,Laura Relaxed C,6,4,0
112740,ClassicNav,Laura Relaxed C,8,4,0
112740,ClassicNav,Laura Relaxed C,9,7,0
112740,ClassicNav,Laura Relaxed C,10,14,0
112740,ClassicNav,Laura Relaxed C,11,5,0
112740,ClassicNav,Laura Relaxed C,12,17,0
112740,ClassicNav,Laura Relaxed C,13,7,0
112740,ClassicNav,Laura Relaxed C,14,11,0
112740,ClassicNav,Laura Relaxed C,15,5,0
112740,ClassicNav,Laura Relaxed C,16,6,0
112740,ClassicNav,Laura Relaxed C,18,4,0
112740,Khaki,Laura Relaxed C,10,3,0
112740,Khaki,Laura Relaxed C,12,2,0
112740,Khaki,Laura Relaxed C,14,4,0
112740,Khaki,Laura Relaxed C,16,1,0
112740,Navy,Laura Relaxed C,18,1,0
112951,White,Rosa Linen Shor,16,4,0
112983,White,Rosa Linen Pant,16,1,0
113002,Black,Tulia Oversized,XXS,2,0
113002,Black,Tulia Oversized,XS,1,0
113002,Black,Tulia Oversized,S,5,0
113002,Black,Tulia Oversized,M,3,0
113002,Black,Tulia Oversized,L,1,0
113002,Black,Tulia Oversized,XL,2,0
113002,Navy,Tulia Oversized,XXS,1,0
113002,Navy,Tulia Oversized,XS,1,0
113002,Navy,Tulia Oversized,S,1,0
113002,Navy,Tulia Oversized,M,2,0
113002,Navy,Tulia Oversized,L,1,0
113002,Navy,Tulia Oversized,XL,2,0
113032,Bone,Laura Chino Sho,6,4,0
113032,Bone,Laura Chino Sho,8,11,0
113032,Bone,Laura Chino Sho,10,15,0
113032,Bone,Laura Chino Sho,12,24,0
113032,Bone,Laura Chino Sho,14,15,0
113032,Bone,Laura Chino Sho,16,9,0
113032,Bone,Laura Chino Sho,18,3,0
113032,ClassicNav,Laura Chino Sho,6,11,0
113032,ClassicNav,Laura Chino Sho,8,18,0
113032,ClassicNav,Laura Chino Sho,10,22,0
113032,ClassicNav,Laura Chino Sho,12,26,0
113032,ClassicNav,Laura Chino Sho,14,16,0
113032,ClassicNav,Laura Chino Sho,16,14,1
113032,ClassicNav,Laura Chino Sho,18,5,1
113032,Cobalt,Laura Chino Sho,6,1,0
113032,Cobalt,Laura Chino Sho,8,3,0
113032,Cobalt,Laura Chino Sho,10,4,0
113032,Cobalt,Laura Chino Sho,12,1,0
113032,Cobalt,Laura Chino Sho,14,2,0
113032,Cobalt,Laura Chino Sho,16,3,0
113032,Cobalt,Laura Chino Sho,18,2,0
113032,Emerald,Laura Chino Sho,6,1,0
113032,Emerald,Laura Chino Sho,8,3,0
113032,Emerald,Laura Chino Sho,10,5,0
113032,Emerald,Laura Chino Sho,12,3,0
113032,Emerald,Laura Chino Sho,14,2,0
113032,Emerald,Laura Chino Sho,16,2,0
113032,Green,Laura Chino Sho,6,1,0
113032,Green,Laura Chino Sho,8,6,0
113032,Green,Laura Chino Sho,10,6,0
113032,Green,Laura Chino Sho,12,6,0
113032,Green,Laura Chino Sho,14,2,0
113032,Green,Laura Chino Sho,16,1,0
113032,Green,Laura Chino Sho,18,1,0
113032,Ivory,Laura Chino Sho,6,7,0
113032,Ivory,Laura Chino Sho,8,6,0
113032,Ivory,Laura Chino Sho,10,16,0
113032,Ivory,Laura Chino Sho,12,10,0
113032,Ivory,Laura Chino Sho,14,7,0
113032,Ivory,Laura Chino Sho,16,3,0
113032,Ivory,Laura Chino Sho,18,2,0
113032,Khaki,Laura Chino Sho,6,2,0
113032,Khaki,Laura Chino Sho,8,5,0
113032,Khaki,Laura Chino Sho,10,5,0
113032,Khaki,Laura Chino Sho,12,3,0
113032,Khaki,Laura Chino Sho,14,4,0
113032,Khaki,Laura Chino Sho,16,3,0
113032,Sage,Laura Chino Sho,8,2,0
113032,Sage,Laura Chino Sho,10,1,0
113032,Sage,Laura Chino Sho,12,2,0
113032,Sage,Laura Chino Sho,14,2,0
113032,Sienna,Laura Chino Sho,6,3,0
113032,Sienna,Laura Chino Sho,8,5,0
113032,Sienna,Laura Chino Sho,10,16,0
113032,Sienna,Laura Chino Sho,12,15,0
113032,Sienna,Laura Chino Sho,14,3,0
113032,Sienna,Laura Chino Sho,16,2,0
113032,Tan,Laura Chino Sho,6,1,0
